"name","mz","rt","QC11","QC12","QC22","QC23","QC24","QC25","QC26","QC27","QC28","QC29","QC30","QC31","QC13","QC32","QC33","QC34","QC35","QC14","QC15","QC16","QC17","QC18","QC19","QC20","QC21","EC4349","EC7415","ECFD103","EC3972","EC6120","EC6561","EC7522","EC7401","EC34A1771","EC6594","EC53A2215","EC47A2046","EC6557","EC6517","EC7221","EC7560","EC4365","EC4182","ECA1469","EC4455","EC17A1458","EC4641","EC6364","EC7460","EC6891","ECA1467","EC4121","EC6A1215","EC24A1581","EC6349","EC7447","EC4177","ECFB131","EC26A1605","EC6401","EC7586","EC6591","EC30A1671","ECA558","EC4370","EC4654","EC4374","EC4565","EC563","EC6602","EC3751","ECFB60","EC7631","EC6513","EC4638","EC8365","EC4149","EC4536","EC4293","ECFB123_1","EC6132","EC7403","EC4302","EC4385","EC6291","EC6548","EC6461","EC6742","EC6400","EC7597","EC6748","EC6101","ECFB123_2","EC6305","EC4106","EC4265","EC4136","EC4206","EC7372","EC6208","EC4291","EC6752","EC4482","EC6893","EC7360","EC7590","EC4781","EC7234","EC7458","EC7438","EC6200_1","EC6399","EC6459","EC55A2248","EC6902","EC6326","EC4173","ECFA125","EC8363","ECFC120","EC4179","EC6225","EC8289","EC4493","EC7446","EC6290","EC4382","EC6112","EC7577","EC4160","EC7160","EC3670","ECFA123","EC6299","EC8056_1","ECFB129","EC7536","ECFC18","EC6746","EC7237","EC6894","EC6659","EC3768","EC4286","EC8457","EC4054","EC4193","EC567","EC4483","EC7371","EC4171","EC6614","EC6358","EC4052","EC6731","EC4771","EC6519","EC5A1395","ECA1356","EC6109","EC4086","ECFB47","EC4600","EC4272","EC7527","EC4338","EC47A2049","EC4604","EC4602","EC6559","EC6304","EC4201","EC4135","EC4105","EC6501","EC4532","EC4235","EC7542","EC3703","EC8367","EC6356","EC3688","EC7603","EC6562","EC6402","EC32A1737","EC7244","EC7528","EC6634","EC8065","EC3938","EC3687","EC4224","EC4348","EC7154","EC4619","EC25A1596","EC6345","EC7549","EC4220","EC6103","EC4268","EC6808","ECA1318","EC3944","EC3677","EC25A1594","EC6108","EC7233","EC6202","EC4270","EC3826","EC7599","EC6408","EC7426","EC6A1200","ECFB147"
"M60T193",60.08059403,193.156,140117.3928,214952.7827,360696.1297,456951.3982,506672.129,1260335.394,1108900.505,591648.9797,764468.4407,900782.3499,845228.9202,964534.6434,294160.8896,871605.5906,716998.0976,775944.5583,665871.2331,388690.3125,524924.0332,626571.5972,854298.983,1261191.325,1727003.46,475161.6728,406301.6778,526440.8219,410315.1667,583150.5683,440461.8821,25202.50504,472430.3837,349787.5952,399511.5129,163303.3471,387360.112,189786.4971,287970.0775,286711.6218,450745.3214,340131.3476,204378.3641,294505.9323,22260.21257,350836.322,623255.0874,336438.3357,743957.4049,1515558.615,1298527.31,373943.6276,1090986.57,703341.9625,1630982.472,318364.8394,1390456.844,1819122.918,815903.803,1515935.884,510308.293,839485.1389,1023859.441,594258.632,180384.1213,328191.3617,961737.0574,611064.2387,430393.1622,829487.9142,19644.77307,506162.6212,1064381.37,475759.5517,418307.5456,302817.5077,547204.2743,628502.1566,735082.4623,899846.674,972033.4294,321570.2337,1315270.243,1009282.57,806167.187,287093.7558,562237.3962,284896.266,1012280.828,1274243.446,1000497.261,629017.6727,1182570.922,226707.2782,320533.2734,246683.2314,433485.6169,377051.6939,178167.5305,711259.1782,949018.061,278893.3527,1051048.441,764057.2014,1173414.729,280525.8455,949086.1384,1143500.423,1109873.331,1151145.348,609302.5367,843878.3092,733312.1943,736963.1164,1420584.737,937897.7097,931459.3358,233549.1494,188476.1016,336991.3833,100448.6807,157763.0738,635930.5157,35932.23318,274456.3789,775268.6392,542054.2399,52526.88577,490761.8983,1046343.142,418283.824,665649.3315,998915.9357,272414.9614,453171.408,862074.7958,1120177.009,798201.9139,542032.3305,397922.3775,763072.042,619779.2849,395706.8413,369641.0318,299778.2227,408465.2821,137396.6667,469140.8579,154667.5793,108342.89,169630.3445,78048.1577,553546.6457,328632.5836,462462.0997,646186.7726,419469.1255,707307.2438,658254.1126,189905.565,385977.28,719885.3236,214952.5104,597033.0097,568193.3378,540878.6604,41990.31875,21625.96404,314801.6621,23795.08486,1069082.463,996020.3093,793697.9736,390511.9949,569339.4491,381014.062,839972.1074,812254.159,601202.2359,114830.9078,772158.5519,1340689.133,1027889.524,755487.3917,975078.3674,782610.1565,388953.2004,1948078.381,230594.6397,52747.88025,1941404.154,2392983.503,1879114.121,1068172.33,2126752.73,407641.7367,829652.0499,719753.8783,371961.634,212876.9362,348129.7972,232117.8904,392908.347,313163.086,584651.3889,239686.1494,207205.7626,405938.2745,450528.2507,287265.7801,310897.5959,89014.66728,326263.258,332404.7037,266119.0294,465154.6331,30743.29934,504178.0096,289739.4206
"M72T56",72.08065149,56.057,2845260.41,3123306.507,3169726.713,3537499.771,3700333.293,5779233.897,6369519.196,3764000.541,4894260.885,5097062.967,5673649.123,5504289.198,3718719.086,5140932.4,5374245.374,5247840.121,4311040.199,3468395.844,4219304.959,3928342.193,4299476.962,5370805.564,5847563.259,3499896.468,3064287.968,2502708.939,2992594.578,2654676.754,2409397.996,2868248.768,2713523.96,3873696.282,3212061.744,3831752.803,3301257.435,2693291.096,2942493.171,3358463.684,2749880.052,2657803.95,1670616.843,3227760.901,3153019.94,2632561.818,2537110.473,2830419.068,1911798.881,8058676.558,7199776.126,4276383.94,6394318.29,5013328.936,5317006.218,3998228.477,6201558.105,3960138.021,4128463.613,4831495.857,5521017.289,4137588.021,7483754.888,5941077.169,4836126.55,3906322.579,5471162.103,4733776.357,4343912.637,5330195.584,5190460.846,3884018.027,4727073.036,5172969.083,5305271.256,4121696.936,4930717.277,3470330.874,2891248.039,4489271.411,4378634.983,5249572.169,4610694.373,3519385.043,5573935.723,4084264.673,5046141.441,4692243.074,4436123.108,5166230.02,6121239.137,4402136.83,5045771.544,5102767.094,5466211.348,3232731.495,5113959.317,5053963.256,4793313.744,5700676.529,6475960.508,4714438.612,3706285.314,3529537.456,3323231.989,4362058.683,4600674.353,5826734.516,5680108.357,4268178.898,4035942.36,3642305.77,3240341.124,4432803.924,4641295.651,6016379.466,4614427.59,3639045.242,3552359.44,6256862.74,5571892.235,4159184.765,4701119.362,2533164.862,3732495.77,3659036.546,4869931,4432627.959,3760695.812,4047316.523,5129733.591,4214833.846,4435481.393,4085319.542,4791141.377,2936938.922,5187528.569,5401506.866,3666425.93,4520585.47,4425064.464,3346116.488,4575474.304,3599043.081,3292572.648,4228212.66,4664712.949,3588520.311,4802149.545,4418174.196,2509429.502,4759203.957,3763284.393,3956967.342,3782832.103,4464317.332,4308631.097,3780094.192,3210680.676,2798376.803,4530329.709,3521948.538,5126368.757,4684434.281,3880479.002,5318719.527,4943050.055,4939046.038,5018636.2,3192304.168,4719260.423,4336576.926,4264253.115,7046052.623,5782441.738,5788761.32,6570698.071,6730356.738,5124351.087,2883471.201,5692661.455,6621623.33,5690993.217,5026721.295,5383126.676,5314620.253,6849930.168,9667692.305,7981255.467,4386793.105,7987856.851,6367946.207,7078145.245,6360078.561,4736240.793,3371209.405,4284191.221,4086205.323,4101823.314,4659127.392,4527194.491,4459597.248,2320519.896,3103984.745,2000642.284,2494675.061,2772414.518,2587764.445,2429970.195,3669137.366,2510882.941,3055833.039,3359923.453,2794508.043,3321637.514,3161382.845,2380586.169,2273885.664,2247254.81
"M72T38",72.08070284,37.7015,2167799.318,2311129.231,1905713.137,2546396.985,2720330.345,4270085.995,4066881.744,2729120.909,3318347.441,3549819.218,3545664.117,3933937.006,2415401.348,3740443.222,3272494.905,3457030.312,3040196.073,2101924.183,2647468.842,2395664.306,2662770.302,3227953.469,4377018.157,2482148.295,2094364.132,1672172.87,2234766.758,1740126.477,1676980.899,1962954.517,1858123.673,2478467.864,1977444.119,2830454.2,2454841.597,1972185.782,2016147.033,2545967.913,1897844.759,1835463.546,1155229.374,1884911.849,2289544.738,1793665.764,1514993.535,2007077.493,1232687.222,5245259.938,5331493.513,3133693.715,4175272.652,3619249.498,3608905.087,2500014.898,4446775.656,2698283.14,2982959.123,3643970.264,3710494.07,2838474.455,5329400.241,4549046.811,3523005.915,2681526.36,3520920.173,3457916.408,2897467.857,4159073.836,3882487.069,2397045.384,2998657.485,3765896.318,3908356.653,2493851.887,3380414.077,2628180.695,2125382.155,3283521.167,3024485.203,3903922.978,3475690.832,2521500.789,3422294.679,2668783.799,3575395.264,3273141.334,3184598.427,3555628.163,3574290.639,3275816.778,3682506.23,3360923.596,3697278.109,2134151.711,3260519.946,2921129.991,3399454.031,3443207.457,3911360.12,2971322.257,2516645.333,2188428.589,2052300.516,2668739.175,2868967.973,3709569.01,3276430.88,3008786.553,2808671.195,2579543.607,2101970.986,2715123.921,2546886.266,3818500.722,3414327.62,2566383.872,2402410.737,4362578.177,3391113.825,3095299.62,3283382.009,1801871.409,2267938.375,2372762.562,3216320.515,2934022.064,2585883.721,2819313.322,3495626.518,2830911.787,2828320.133,2827754.356,2625151.358,2149955.56,3655348.717,3762102.128,2739570.124,3294427.551,3046432.335,2414924.664,2312760.626,2320800.45,2068445.66,2339427.57,2663988.434,2185870.166,2969675.746,3477781.611,1518745.308,2795042.342,2207795.446,2337462.065,2045714.756,2667051.859,2473625.703,2196920.859,1853912.639,2118159.675,2736519.845,2094918.366,2555429.777,2753084.119,2248928.777,2861155.333,2856999.259,2939322.829,3089970.363,2463968.266,2769981.934,2554983.757,2581528.236,3669688.934,2843994.771,3551724.824,3354863.781,3746171.153,3095218.813,2098471.257,3334943.184,3669823.799,2715031.77,2985532.49,2821125.441,3148545.396,4041293.961,5894357.22,4157584.126,3222442.024,5313403.659,3925465.564,5095108.812,4922347.214,3516637.095,2576141.095,3130291.177,2883984.013,2855840.664,3321476.842,3024883.669,3202046.555,1553440.928,1886127.937,1108052.655,1794256.286,2050477.167,1407678.228,1666171.986,2648029.484,1666505.171,1951730.254,2600798.834,1859693.765,2090402.71,1777519.849,1385145.879,1560148.531,1411793.699
"M74T24_1",73.5318303,24.325,948425.0635,1027722.965,346255.6971,450092.0294,467326.3208,1007195.244,839259.1617,442556.3946,583683.9749,645734.5018,634887.7943,704813.2367,1139173.943,652230.8081,548652.5982,572118.4445,431080.805,1135560.387,1179786.156,1254426.374,1280732.143,1297291.474,1105002.192,507247.1058,409289.9614,441315.0159,451142.8336,532930.5075,327161.5176,360216.0035,449095.1657,250197.2831,454271.5863,878793.3345,388417.0597,321393.2047,367497.1429,290992.5514,415168.5761,511104.0506,401067.1704,395550.4697,388594.604,1010640.352,383979.6962,271800.0268,545314.0538,1176110.506,1008956.24,823869.1681,1140076.037,761442.9329,942757.507,961307.9905,625668.4033,974310.3065,551213.9089,927546.623,573048.5054,631243.4442,595008.4136,519055.7567,790600.5647,1100312.905,831084.1455,530538.6506,569146.6017,488704.594,532984.7021,331551.8269,420619.4664,552632.6666,246682.5692,830048.7797,459654.0437,487900.5892,1038059.695,670123.6362,451946.4893,413704.7389,524947.555,568708.2301,774866.6857,951309.0925,572339.3835,446664.4188,566565.2346,529603.4581,756225.2296,526362.4535,531493.42,541038.3833,402402.3204,1043433.026,507398.2068,590969.5583,555669.7613,570564.3525,599912.8196,412852.0581,533488.9497,413621.9224,736021.319,937748.4703,704170.6431,533245.9283,637481.3517,627185.7726,431239.6562,409362.4796,661229.1794,350930.9417,768213.4903,644475.2511,728910.0681,613321.5355,336113.2722,536860.0579,543629.3278,545682.591,497260.1363,979574.7154,1000908.243,492177.5754,424237.885,447346.604,424103.2238,454712.3466,473741.3839,751065.3153,468469.8084,497917.6172,1276984.868,540880.752,723007.2835,476684.4878,489687.9821,724504.1239,458219.2638,915705.7776,1386635.691,1100017.849,1114166.354,1606103.721,1207360.332,890665.5793,939188.9096,1127545.139,996154.0203,1009040.019,1227971.032,1129720.251,1290383.499,821093.925,1121569.821,1348085.697,1196257.763,782762.6957,1345829.674,1036053.051,1119412.123,1352569.19,1252331.428,1395797.694,1500041.475,1203763.687,1089685.244,1433127.744,1052061.397,1252196.326,1270750.094,1519886.228,1482574.491,1067600.82,1563853.189,1428431.423,1750256.459,1181525.011,1349749.993,1547656.074,1420217.862,1647926.049,1227820.562,1793960.274,1692732.276,1648486.498,1187896.662,685619.0836,1305131.256,1267602.853,1408373.468,1241806.767,906084.1534,1080785.11,260962.6937,771615.6874,699036.6324,1249404.299,763999.0651,604824.9624,497263.6522,561904.4901,269367.323,260897.2117,251157.7932,356533.8975,420772.2856,828811.2463,286751.1118,354726.8683,515226.8202,409525.6968,421334.9852,376568.7674,268601.5098,277327.517,285209.4928
"M76T33",76.07565866,32.776,787182.4456,833407.3229,420515.7,536241.2729,587388.0613,914400.1019,856031.9541,595150.3347,724183.2419,814914.3804,833876.9217,912465.1591,860380.4614,851140.7569,774825.8275,792418.9518,709395.6688,810583.8875,892356.2505,847804.4214,877221.3119,898244.4742,945545.874,536827.2573,457533.548,507134.6522,329248.5116,287146.0958,139673.0335,199511.6239,205259.9173,266006.0254,225558.4435,1236641.961,255759.6347,352035.0885,312667.6033,494713.2331,228968.2999,179968.7612,1212270.13,567472.8431,1648749.11,1466908.285,65478.00683,68143.03193,408930.067,250269.1444,902332.7695,2122104.609,223119.7479,794328.6337,330251.6,508285.3425,1176382.095,463363.6265,714444.4713,443011.4787,467312.2462,834140.2243,818578.0309,227988.8418,1162269.725,1029375.574,844340.2202,485614.467,756455.8484,1040643.773,226803.7368,1556926.637,434540.3888,182618.4473,912612.1655,4098520.081,608927.7856,335101.6498,346958.6464,1264499.975,934440.8126,334599.19,363335.4482,628454.8849,1883195.606,970968.0323,176507.2863,4610781.978,308741.6231,1383603.834,1727525.863,1131928,643042.5814,2330619.176,373908.7123,175914.3736,193569.2614,885157.7113,566246.4627,389989.3035,421960.1029,293592.684,302187.2135,365593.3402,669613.0848,5156943.002,172461.895,630967.0965,607694.08,2098906.151,596766.5097,1802705.396,461857.826,1687965.032,653908.6091,729355.3407,408777.9262,796276.7989,275652.4691,253643.8051,520369.9272,563573.6378,3469293.252,2365892.289,706013.0494,883900.6253,483681.4442,785498.0186,735226.7091,230025.2934,704241.4729,493784.7947,1212956.653,604421.3006,580712.6858,182497.5177,82255.75092,403736.9697,319511.2957,417155.4436,444822.33,541074.5484,498000.4991,451124.1822,304729.444,627572.5026,1035348.698,315866.0596,573248.3982,1243703.746,769910.7145,1660620.923,171881.0544,459038.6894,539069.0283,307658.137,437815.0368,1361903.975,236337.6037,764978.2088,1399292.877,226910.1775,702535.2229,503439.9685,1330536.923,695334.5675,428305.5971,400478.5269,255814.7582,2146824.767,1063685.243,2481380.096,506703.5859,1848291.506,879562.608,172801.113,779735.2369,391234.1987,559198.8028,231031.4211,95583.4431,1361605.57,2224518.238,678190.7654,791018.5762,641281.6911,582600.3709,1493832.765,1201305.336,907870.4737,339215.6642,677686.2637,341075.1265,1389114.854,506514.6582,1131993.12,124157.1684,612618.7834,535324.2871,167349.6883,695775.6575,1664748.307,205717.7921,366736.0128,176926.4494,339406.2518,190411.2963,163472.4806,268622.0211,687158.6964,281739.0563,441774.2279,295598.9983,599514.338,408603.9871,262422.8155,801125.8747,60470.35842,342678.3863
"M86T95",86.09642343,94.991,9277887.34,10001765.56,3872652.54,3961370.932,3981595.275,5411431.493,3649824.049,3767150.028,4412309.262,4570703.254,4109220.98,4998629.394,11179744.23,4693937.923,3215565.554,4582898.267,4103852.977,11258631.97,12750053.37,13131331.67,15185595.2,16216081.62,15708088.71,4021312.341,3776140.303,2871560.797,3941861.868,2893147.936,3193705.516,3335322.873,3178124.986,1308990.463,4328112.368,22747153.26,4254587.207,3431310.458,3385673.341,3873186.748,2847804.096,3342178.13,1800272.334,2982289.769,4036299.627,14706722.34,1872200.753,3610536.717,2327169.993,6623368.546,6424383.664,4965942.989,3647032.679,4811128.332,4500454.318,10817126.01,4897453.187,4261877.564,3076177.719,4291708.706,5004781.009,3259354.046,5561923.029,3826887.6,4025889.353,11550686.66,3241211.7,4176748.983,4329847.439,4164308.258,5526271.569,2299410.451,2556063.569,4696400.348,5453717.699,11548608.77,3384639.15,3663119.661,2613970.697,4337659.545,4099341.673,5010189.057,4225729.304,3499206.851,3966933.925,10704758.71,4291524.497,3346306.056,4173579.076,4723326.656,3139772.51,5353481.458,5426699.283,4074185.794,5125751.306,9648621.062,3112270.005,2817763.581,4235392.902,4032891.946,4040615.217,2909703.719,3839383.332,3342717.189,3041466.442,23666898.91,3921923.22,4093296.344,3452912.442,3565338.627,3225226.698,2948516.831,2468187.689,2645049.461,2609771.428,3721671.193,4286516.988,3062764.784,2408881.515,5967546.611,3309092.765,3718246.303,2970488.106,15094895.46,9169289,2974356.756,2624638.245,4041440.209,3551153.922,3635114.734,4970513.411,3895537.948,2490958.485,3793476.902,24326896.11,2643566.316,4173531.46,4820211.229,3681057.688,4286159.271,3607374.67,2793923.4,12232746.7,11061545.47,10436648.99,23993286.55,21592806.43,11027027.76,12678655.9,21874358.12,6929451.232,13158843.76,7252411.879,10693910.11,11081205.91,12729984.22,12620742.8,12328157.42,8548777.218,8364304.291,12804930.46,9751559.652,25494947.42,15802946.24,24052566.86,33075900.86,15020024.96,13050292.48,15994365.7,9955832.418,14922280.74,13529602.67,13258497.5,21461828.01,30251745.28,17023186.32,13830548.56,17294930.57,15728322.94,8349762.72,17613167.79,16656323.18,13306226.5,14563565.69,13752698.61,14266960.72,15591539.31,20032144.44,31258024.71,12450236.4,32600919.26,11922010.75,10170916.97,6414941.396,5844401.901,3247254.554,4777817.88,4359807.521,4007502.503,26502689.89,5123159.746,4745114.173,2438496.128,2539452.893,1613717.901,3695188.413,3450825.038,2255439.148,2835096.955,8978428.312,2913932.579,3813269.567,4710639.685,3275485.383,3322400.259,3234258.207,2846146.787,2954730.88,2505421.941
"M86T75",86.09648768,74.523,2982269.264,3400942.001,1945093.656,2724034.795,2738672.123,3535932.784,2492990.448,2702114.559,2716995.782,2719452.879,2596946.15,3078222.88,4129909.637,3098064.485,2826803.762,2676958.733,2772183.246,3740909.6,4655303.862,4578201.371,5275292.974,6101516.519,NA,2672917.478,2562505.328,1834755.939,3135298.807,1777877.936,2272505.319,2450667.084,2071186.198,5097199.283,579395.6836,NA,2881920.061,2087404.498,2271230.317,494110.5286,1638303.53,2343613.165,1068907.51,1826513.368,2792518.878,430836.811,1304775.021,464860.585,1621805.73,3280935.257,672791.737,609382.8438,2803032.641,619544.6949,2870910.732,541960.6762,2843658.608,1979120.509,1789553.005,2093752.081,655689.1942,1834541.447,4003179.687,2719097.403,2446815.709,4730604.877,2672172.085,2458508.57,2486626.728,2431721.975,3608323.571,1527135.091,1868441.423,3809163.596,800375.3886,4384672.187,3324686.183,2436001.568,425843.2375,3189409.782,575342.6719,3838161.089,2626617.514,2135903.901,3259950.799,4060098.573,611039.5666,1909597.053,629757.5194,3052515.581,2704006.171,4223177.981,732571.4806,394914.4563,732590.8951,3579969.091,2252210.273,2242057.519,2673179.746,3554663.737,3147241.749,1825699.874,2401001.724,2216965.005,1938045.927,NA,2242015.653,3004491.117,2649632.005,1887575.151,1947369.087,337995.7999,1588813.355,1758094.816,1885534.642,3413766.329,3267430.218,1307823.344,1687010.536,3858871.115,2559856.254,1415014.612,2147362.652,NA,3361900.275,1705713.584,1915843.845,2957359.144,2012664.056,2165125.48,3551465.094,2517353.391,1547764.092,2319006.379,NA,1770956.691,3048564.928,3442188.691,426956.8261,2554178.18,2433683.162,1857625.18,NA,3880018.058,3847924.069,NA,NA,4274886.381,4623611.582,NA,2368784.57,4305387.048,2095676.189,3873134.892,4395471.513,4689343.985,4576283.703,4398329.465,2883845.428,2728457.785,4687788.407,3408617.984,NA,6104256.376,NA,NA,6163715.299,5902556.897,6341982.036,3561437.33,5179702.498,5362407.111,4924526.513,9755176.491,NA,7142984.42,NA,5797656.359,6499709.066,3060282.668,7052962.623,6570147.26,5004364.566,5544562.566,4187216.716,5481664.195,7106188.358,8315361.321,NA,4843633.627,NA,956211.4117,4271066.351,3244847.843,3319637.367,1804176.279,3262705.235,2879360.709,2855245.846,NA,3729339.279,3019232.989,1402419.528,1800721.424,1279662.742,408288.7885,438517.2522,1657229.325,1956855.571,3165205.737,1999800.993,2997344.958,3874145.368,2276800.519,1792706.976,2757305.519,2177488.627,1990736.995,1750565.537
"M90T649_1",89.50704848,648.88,1085069.049,1464435.059,1450772.059,1411323.613,1397974.785,1559559.562,1438831.756,1155377.97,1257203.396,1279550.999,1325214.439,1322561.947,1922743.911,1343373.215,1370325.879,1236210.673,1251449.325,1961687.515,2159823.185,1872221.729,1783898.244,2072495.314,2030936.31,1382514.869,1325159.96,1324219.1,1387658.035,1512996.193,1346641.903,1576302.47,1564446.342,1253108.357,1281881.036,1444912.327,1364723.787,1392289.759,1398479.707,1447869.842,1367794.867,1372964.806,1398546.552,1641234.697,1412555.167,3568348.309,1454141.423,1373865.533,1380193.992,1860260.971,1774278.987,1843305.323,1675085.428,1530851.2,1705335.197,2343306.687,1402403.843,1446210.05,1339282.034,1493882.483,1433375.227,1470104.192,1429304.637,1430156.284,1420360.045,2355713.061,1372020.612,1655803.522,1428270.098,1315245.254,815161.7239,1237207.259,1273584.631,1356470.497,1251813.894,2144089.415,1199945.299,1403688.977,1248999.25,1185495.967,1238006.044,1391519.887,1214493.17,1243968.325,1291638.747,2081692.856,1414190.812,1240023.273,1244035.124,1254196.802,1274817.805,1312839.727,1363965.835,1247231.213,1274936.611,1991635.846,1368792.06,1476643.289,1383681.462,1356510.102,1307157.609,1333378.144,1250433.874,1285757.201,1265686.512,2005974.609,1312983.248,1383806.9,1378630.606,1331574.378,1279298.4,1313282.899,1313240.356,1296141.626,1349100.191,1408908.386,1285448.258,1431795.175,1781075.634,1309466.746,1275556.172,1352416.77,1316984.932,1090807.776,1961983.094,1446813.39,1456085.59,1381632.459,1383908.231,1379952.031,1331557.316,1342231.418,1409242.031,1276018.578,2013846.253,1357236.803,1381241.174,1304550.36,1244254.003,1268121.473,1299217.66,1252025.288,1835143.58,1825986.515,1810415.575,1957836.716,1923424.585,1957691.316,1843570.168,1281382.976,1809821.001,1601174.05,1823842.979,1650433.564,1742456.945,2008220.478,2078173.244,1704878.839,1642217.976,1338998.078,1738990.985,1934032.312,1907665.102,1691836.706,2067400.17,1689220.044,1898677.131,1606532.896,1736078.631,1648575.992,1815771.343,1705444.978,1726345.355,1799187.701,1787939.641,1748566.515,1744868.212,1884280.928,2053570.676,1566552.029,2019600.892,2409223.312,2092553.608,1935556.282,2059329.7,2648866.261,2258027.209,2279345.237,2431824.064,1496841.691,2122919.328,2166481.922,2120665.236,2056044.798,1876911.132,1525249.357,1570048.158,1752971.536,1683173.655,1739432.794,1505709.221,1365757.212,1390562.933,1246219.023,1286732.61,1272263.03,1311843.547,1333887.135,1456770.525,1561423.345,1300556.276,1308511.004,1351494.118,1673158.418,1434864.818,1292525.286,1273055.831,1371812.072,1280433.065
"M98T650",97.96869522,650.129,NA,NA,733377.1723,645544.6288,690373.4038,401611.2627,584721.6619,613544.2829,741883.8562,590317.1617,437827.2539,597850.3839,NA,724435.8667,569720.0053,597904.1726,620007.557,NA,NA,NA,NA,NA,265307.7981,780087.0562,663291.0373,658048.1473,761393.0727,693782.3789,790532.5571,903688.944,748428.5167,805703.8313,714336.1961,NA,846582.8726,912370.126,900276.0272,859272.2956,691079.6477,855713.1704,782514.5443,706277.2688,633000.2677,NA,801533.6817,735476.2827,830050.6341,434991.6299,342528.8555,505921.8599,547586.5683,524707.8601,447554.8364,NA,534387.7507,449838.8,497188.8576,541252.7683,606376.2916,485290.6648,477389.2965,611116.4898,469299.0018,NA,476489.2942,604864.9847,403558.6059,570410.7373,638792.7999,731840.9108,544390.7421,572105.5142,749500.3571,NA,739466.6588,628470.8084,650876.4452,533148.0793,659859.0643,523896.7248,524701.7419,524166.9365,477897.1789,NA,513497.0764,597364.5329,620278.1253,565107.4092,584967.1336,697149.2485,635809.5224,570892.9602,660552.2737,NA,529805.1527,534700.65,478490.254,714758.9154,598934.1077,699384.4637,603408.6816,574365.425,674894.7339,NA,675282.9626,704992.2659,477247.7533,714768.9517,613928.2191,629786.9547,563417.8393,695982.9649,609307.2446,413627.2268,586961.4328,617855.5534,552932.3073,664711.4143,692815.3864,721013.1101,717015.1816,NA,NA,483102.9289,394341.836,548306.2093,655666.4339,592451.7792,725868.4121,714735.0213,585227.8593,431071.4584,NA,516906.9165,467517.4972,457626.2194,583827.2591,617942.8409,695660.3222,767996.2584,NA,NA,NA,NA,NA,NA,18868.43049,NA,22303.78217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21938.88902,NA,NA,NA,8071.30974,NA,NA,NA,NA,NA,NA,NA,NA,NA,12668.71386,NA,NA,NA,NA,NA,NA,NA,NA,70148.04662,NA,124395.0619,139190.4919,188228.4183,329641.3123,430373.9207,569464.1867,590658.5049,538015.9732,643520.3371,NA,595959.6751,580406.2716,696405.8247,746901.8843,709838.0448,773831.9922,819559.4388,762964.863,705585.902,NA,683432.5388,658738.2126,887035.7521,844198.7512,725927.8917,746268.0312,889346.3351,824962.1459,654134.0676
"M100T151",100.0756941,151.018,7784650.386,8392647.886,7282013.171,7938188.485,8338723.6,9002416.951,8640649.74,8474158.214,8485205.664,8644960.082,9100537.326,9398292.583,9037557.092,9423930.586,8811553.714,9159496.826,9169616.281,9152716.401,7588128.13,7736731.702,7680075.207,7920939.596,7713207.658,7624194.389,7637062.861,1401598.852,5337192.596,2068871.034,10235532.64,4909929.929,8045427.359,7128098.047,11685953.69,20802064.58,17201238.7,15299635.45,15662623.5,1449512.619,6363860.527,2006459.934,3112789.989,2526297.166,687384.8673,17973484.04,2451108.991,1597462.825,8414031.966,2851670.199,14018870.49,1940626.3,2260276.21,30915672.37,3272996.904,9432608.647,9718538.508,1669884.692,10518422.68,3565602.323,12815103.33,21953207.78,8716726.729,7958334.611,4547317.586,9894207.178,4498725.523,24676631.89,4363133.982,6192324.971,16461653.8,12061806.49,6777937.53,8749159.746,7866684.188,7869600.775,1745350.724,5479549.042,19207949.94,4618809.18,11678639.76,5320065.812,3729670.374,1330304.432,9933823.289,19595174.75,5578479.971,13450180.72,18063475.92,10817904.81,995835.6529,22058276.94,23855924.5,13715451.86,4928353.343,10689020.43,7152149.559,645187.4613,2428119.865,2326610.883,13787334.14,10337291.24,2377571.826,21704303.96,1346166.949,4885110.218,3712042.424,10258237.7,2452779.521,1707740.71,19728569.47,6055533.651,6962066.835,7969168.261,5600874.713,2415286.596,3620744.886,2794330.317,2025218.504,1138623.912,5328851.399,1485474.169,7724509.421,3284053.129,1296558.803,4964420.435,7298601.124,629103.1521,2510836.141,1678867.04,4078001.103,9688131.082,5186480.903,1617479.51,4422394.024,5560716.706,5413280.999,797347.521,3010755.325,11779892.8,7830833.316,7164480.702,3401840.868,7721586.115,2019665.847,1996136.157,2864724.575,19396064.5,16818638.5,9613229.052,2525478.667,5452441.443,4850011.208,11348599.99,4871493.978,1595417.132,8416337.747,5553762.863,29985590.46,2811545.752,3460724.56,2848244.632,1529749.496,3805632.991,9604489.41,4116855.622,4402579.88,3687820.902,9045387.832,17211553.9,5046712.5,7470971.997,12278130.63,25322071.24,6192613.844,936204.0553,2310678.638,4926507.805,10762332.74,3689345.589,2547314.263,20548951.43,15106040.14,2952505.774,1646908.17,4338587.554,19112792.39,8778916.887,3027820.357,20588357.05,10522780.97,1128768.787,10193239.65,13854416.84,1151698.219,796887.9395,30654481.92,1262107.735,8058307.301,8234271.213,14132747.51,4672236.142,5946078.442,8286847.425,10411599.58,7696652.429,4848276.419,5967069.707,555621.0111,14127156.67,2103056.839,15597491.57,528972.8115,1774514.221,5877414.628,11740155.78,5156320.02,6449350.111,9395569.123
